doc_source,doc_suspect,label
orig_taska.txt,g0pC_taska.txt,heavy
orig_taska.txt,g1pD_taska.txt,light
orig_taska.txt,g3pC_taska.txt,cut
orig_taska.txt,g4pB_taska.txt,non
orig_taska.txt,g4pC_taska.txt,cut
orig_taska.txt,g4pD_taska.txt,light
orig_taska.txt,g4pE_taska.txt,heavy
orig_taskb.txt,g0pC_taskb.txt,non
orig_taskb.txt,g1pB_taskb.txt,non
orig_taskb.txt,g1pD_taskb.txt,cut
orig_taskb.txt,g3pC_taskb.txt,non
orig_taskb.txt,g4pB_taskb.txt,non
orig_taskb.txt,g4pC_taskb.txt,non
orig_taskb.txt,g4pD_taskb.txt,cut
orig_taskb.txt,g4pE_taskb.txt,light
orig_taskc.txt,g0pC_taskc.txt,non
orig_taskc.txt,g1pB_taskc.txt,heavy
orig_taskc.txt,g3pC_taskc.txt,non
orig_taskc.txt,g4pB_taskc.txt,heavy
orig_taskc.txt,g4pC_taskc.txt,non
orig_taskc.txt,g4pD_taskc.txt,non
orig_taskd.txt,g0pC_taskd.txt,cut
orig_taskd.txt,g1pB_taskd.txt,light
orig_taskd.txt,g3pB_taskd.txt,light
orig_taskd.txt,g3pC_taskd.txt,heavy
orig_taskd.txt,g4pB_taskd.txt,light
orig_taskd.txt,g4pC_taskd.txt,heavy
orig_taskd.txt,g4pD_taskd.txt,non
orig_taske.txt,g0pB_taske.txt,heavy
orig_taske.txt,g0pC_taske.txt,light
orig_taske.txt,g1pB_taske.txt,cut
orig_taske.txt,g3pB_taske.txt,cut
orig_taske.txt,g3pC_taske.txt,light
orig_taske.txt,g4pB_taske.txt,cut
orig_taske.txt,g4pC_taske.txt,light
orig_taske.txt,g4pD_taske.txt,heavy
orig_taske.txt,g4pE_taske.txt,non
orig_taska.txt,g0pA_taska.txt,non
orig_taskb.txt,g0pA_taskb.txt,cut
orig_taskc.txt,g0pA_taskc.txt,light
orig_taskd.txt,g0pA_taskd.txt,heavy
orig_taske.txt,g0pA_taske.txt,non
orig_taska.txt,g0pB_taska.txt,non
orig_taskb.txt,g0pB_taskb.txt,non
orig_taskc.txt,g0pB_taskc.txt,cut
orig_taskd.txt,g0pB_taskd.txt,light
orig_taska.txt,g0pD_taska.txt,cut
orig_taskb.txt,g0pD_taskb.txt,light
orig_taskc.txt,g0pD_taskc.txt,heavy
orig_taskd.txt,g0pD_taskd.txt,non
orig_taske.txt,g0pD_taske.txt,non
orig_taska.txt,g0pE_taska.txt,light
orig_taskb.txt,g0pE_taskb.txt,heavy
orig_taskc.txt,g0pE_taskc.txt,non
orig_taskd.txt,g0pE_taskd.txt,non
orig_taske.txt,g0pE_taske.txt,cut
orig_taska.txt,g1pA_taska.txt,non
orig_taskb.txt,g1pA_taskb.txt,heavy
orig_taskc.txt,g1pA_taskc.txt,light
orig_taskd.txt,g1pA_taskd.txt,cut
orig_taske.txt,g1pA_taske.txt,non
orig_taska.txt,g1pB_taska.txt,non
orig_taskc.txt,g1pD_taskc.txt,non
orig_taskd.txt,g1pD_taskd.txt,non
orig_taske.txt,g1pD_taske.txt,heavy
orig_taska.txt,g2pA_taska.txt,non
orig_taskb.txt,g2pA_taskb.txt,heavy
orig_taskc.txt,g2pA_taskc.txt,light
orig_taskd.txt,g2pA_taskd.txt,cut
orig_taske.txt,g2pA_taske.txt,non
orig_taska.txt,g2pB_taska.txt,non
orig_taskb.txt,g2pB_taskb.txt,non
orig_taskc.txt,g2pB_taskc.txt,heavy
orig_taskd.txt,g2pB_taskd.txt,light
orig_taske.txt,g2pB_taske.txt,cut
orig_taska.txt,g2pC_taska.txt,cut
orig_taskb.txt,g2pC_taskb.txt,non
orig_taskc.txt,g2pC_taskc.txt,non
orig_taskd.txt,g2pC_taskd.txt,heavy
orig_taske.txt,g2pC_taske.txt,light
orig_taska.txt,g2pE_taska.txt,heavy
orig_taskb.txt,g2pE_taskb.txt,light
orig_taskc.txt,g2pE_taskc.txt,cut
orig_taskd.txt,g2pE_taskd.txt,non
orig_taske.txt,g2pE_taske.txt,non
orig_taska.txt,g3pA_taska.txt,non
orig_taskb.txt,g3pA_taskb.txt,heavy
orig_taskc.txt,g3pA_taskc.txt,light
orig_taskd.txt,g3pA_taskd.txt,cut
orig_taske.txt,g3pA_taske.txt,non
orig_taska.txt,g3pB_taska.txt,non
orig_taskb.txt,g3pB_taskb.txt,non
orig_taskc.txt,g3pB_taskc.txt,heavy
orig_taskc.txt,g4pE_taskc.txt,cut
orig_taskd.txt,g4pE_taskd.txt,non
